job_id,job_title,company,company_name,company_id,location,job_description,keywords,experience,education,salary,job-time,description_length,cleaned_job_description,cleaned_job_description_length
JOB100037,ML Engineer,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Noida, Uttar Pradesh","We are looking for a ML Engineer to join CloudMatrix Technologies. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and B.Sc. qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",1-3 Years,B.Sc.,₹5-8 LPA,Part-Time,373.0,we are looking for a ml engineer to join cloudmatrix technologies the candidate should have experience with python pandas machine learning scikit learn responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and b sc qualification are preferred,361
JOB100792,SQL Developer,Infosphere Analytics,Infosphere Analytics,COM002,"Ahmedabad, Gujarat","We are looking for a SQL Developer to join Infosphere Analytics. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Bachelor's Degree qualification are preferred.","Spark, Python, SQL, AWS",1-3 Years,Bachelor's Degree,₹3-5 LPA,Contract,360.0,we are looking for a sql developer to join infosphere analytics the candidate should have experience with spark python sql aws responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and bachelor s degree qualification are preferred,349
JOB100055,ML Engineer,NextGen Systems,NextGen Systems,COM005,"Pune, Maharashtra","We are looking for a ML Engineer to join NextGen Systems. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Master's Degree qualification are preferred.","Python, Pandas, NumPy, SQL",0-1 Years,Master's Degree,₹5-8 LPA,Contract,354.0,we are looking for a ml engineer to join nextgen systems the candidate should have experience with python pandas numpy sql responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and master s degree qualification are preferred,343
JOB100022,Product Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Nashik, Maharashtra","We are looking for a Product Analyst to join CloudMatrix Technologies. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Any Graduate qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",0-1 Years,Any Graduate,₹8-12 LPA,Contract,380.0,we are looking for a product analyst to join cloudmatrix technologies the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and any graduate qualification are preferred,369
JOB100702,Power BI Developer,ByteCraft Solutions,ByteCraft Solutions,COM008,"Noida, Uttar Pradesh","We are looking for a Power BI Developer to join ByteCraft Solutions. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Any Graduate qualification are preferred.","Spark, Python, SQL, AWS",3-5 Years,Any Graduate,₹8-12 LPA,Full-Time,359.0,we are looking for a power bi developer to join bytecraft solutions the candidate should have experience with spark python sql aws responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and any graduate qualification are preferred,348
JOB100201,AI Engineer,DataBridge Labs,DataBridge Labs,COM004,"Noida, Uttar Pradesh","We are looking for a AI Engineer to join DataBridge Labs. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Tech / B.E. qualification are preferred.","Spark, Python, SQL, AWS",3-5 Years,B.Tech / B.E.,₹5-8 LPA,Contract,349.0,we are looking for a ai engineer to join databridge labs the candidate should have experience with spark python sql aws responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and b tech b e qualification are preferred,335
JOB101503,BI Analyst,DataBridge Labs,DataBridge Labs,COM004,"Gurugram, Haryana","We are looking for a BI Analyst to join DataBridge Labs. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Master's Degree qualification are preferred.","Python, Pandas, NumPy, SQL",3-5 Years,Master's Degree,₹10-16 LPA,Full-Time,353.0,we are looking for a bi analyst to join databridge labs the candidate should have experience with python pandas numpy sql responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and master s degree qualification are preferred,342
JOB100872,Python Developer,Infosphere Analytics,Infosphere Analytics,COM002,"Gurugram, Haryana","We are looking for a Python Developer to join Infosphere Analytics. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and Master's Degree qualification are preferred.","Excel, Power BI, SQL, Data Visualization",5-8 Years,Master's Degree,₹2.5-4 LPA,Remote,378.0,we are looking for a python developer to join infosphere analytics the candidate should have experience with excel power bi sql data visualization responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 5 8 years experience and master s degree qualification are preferred,367
JOB100279,ML Engineer,TechNova Solutions,TechNova Solutions,COM001,"Ahmedabad, Gujarat","We are looking for a ML Engineer to join TechNova Solutions. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and MBA qualification are preferred.","Python, Pandas, NumPy, SQL",2-4 Years,MBA,₹5-8 LPA,Contract,345.0,we are looking for a ml engineer to join technova solutions the candidate should have experience with python pandas numpy sql responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and mba qualification are preferred,334
JOB102217,Data Engineer,ByteCraft Solutions,ByteCraft Solutions,COM008,"Mumbai, Maharashtra","We are looking for a Data Engineer to join ByteCraft Solutions. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and MBA qualification are preferred.","SQL, Power BI, Excel, DAX",0-1 Years,MBA,₹8-12 LPA,Contract,347.0,we are looking for a data engineer to join bytecraft solutions the candidate should have experience with sql power bi excel dax responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and mba qualification are preferred,336
JOB101344,Product Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,Delhi NCR,"We are looking for a Product Analyst to join CloudMatrix Technologies. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and B.Tech / B.E. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",5-8 Years,B.Tech / B.E.,₹10-16 LPA,Part-Time,381.0,we are looking for a product analyst to join cloudmatrix technologies the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 5 8 years experience and b tech b e qualification are preferred,367
JOB100918,Data Scientist,Infosphere Analytics,Infosphere Analytics,COM002,"Ahmedabad, Gujarat","We are looking for a Data Scientist to join Infosphere Analytics. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Master's Degree qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",3-5 Years,Master's Degree,₹4-7 LPA,Full-Time,378.0,we are looking for a data scientist to join infosphere analytics the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and master s degree qualification are preferred,367
JOB102236,Data Engineer,Quantix Analytics,Quantix Analytics,COM009,"Mumbai, Maharashtra","We are looking for a Data Engineer to join Quantix Analytics. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Master's Degree qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",0-1 Years,Master's Degree,₹6-10 LPA,Remote,373.0,we are looking for a data engineer to join quantix analytics the candidate should have experience with python tensorflow nlp machine learning responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and master s degree qualification are preferred,362
JOB101128,BI Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Nashik, Maharashtra","We are looking for a BI Analyst to join CloudMatrix Technologies. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and Any Graduate qualification are preferred.","Java, Spring Boot, SQL, REST API",2-4 Years,Any Graduate,₹4-7 LPA,Contract,365.0,we are looking for a bi analyst to join cloudmatrix technologies the candidate should have experience with java spring boot sql rest api responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and any graduate qualification are preferred,354
JOB102238,Financial Analyst,NextGen Systems,NextGen Systems,COM005,"Ahmedabad, Gujarat","We are looking for a Financial Analyst to join NextGen Systems. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and B.Sc. qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",8+ Years,B.Sc.,₹4-7 LPA,Remote,364.0,we are looking for a financial analyst to join nextgen systems the candidate should have experience with python tensorflow nlp machine learning responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 8 years experience and b sc qualification are preferred,351
JOB101660,Business Analyst,BluePeak Digital,BluePeak Digital,COM011,"Hyderabad, Telangana","We are looking for a Business Analyst to join BluePeak Digital. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and BCA qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",3-5 Years,BCA,₹6-10 LPA,Internship,364.0,we are looking for a business analyst to join bluepeak digital the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and bca qualification are preferred,353
JOB101846,Business Analyst,ByteCraft Solutions,ByteCraft Solutions,COM008,"Ahmedabad, Gujarat","We are looking for a Business Analyst to join ByteCraft Solutions. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Sc. qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",3-5 Years,B.Sc.,₹2.5-4 LPA,Part-Time,368.0,we are looking for a business analyst to join bytecraft solutions the candidate should have experience with python tensorflow nlp machine learning responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and b sc qualification are preferred,356
JOB100066,Python Developer,TechNova Solutions,TechNova Solutions,COM001,"Mumbai, Maharashtra",,"Python, Pandas, NumPy, SQL",2-4 Years,B.Tech / B.E.,₹6-10 LPA,Contract,,nan,3
JOB101113,Financial Analyst,Quantix Analytics,Quantix Analytics,COM009,"Mumbai, Maharashtra","We are looking for a Financial Analyst to join Quantix Analytics. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Master's Degree qualification are preferred.","Spark, Python, SQL, AWS",1-3 Years,Master's Degree,₹5-8 LPA,Internship,359.0,we are looking for a financial analyst to join quantix analytics the candidate should have experience with spark python sql aws responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and master s degree qualification are preferred,348
JOB101275,Power BI Developer,Aster Technologies,Aster Technologies,COM012,"Hyderabad, Telangana","We are looking for a Power BI Developer to join Aster Technologies. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Sc. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",3-5 Years,B.Sc.,₹5-8 LPA,Part-Time,370.0,we are looking for a power bi developer to join aster technologies the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and b sc qualification are preferred,358
JOB100539,Data Scientist,DataBridge Labs,DataBridge Labs,COM004,Remote,"We are looking for a Data Scientist to join DataBridge Labs. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and B.Sc. qualification are preferred.",,1-3 Years,B.Sc.,₹6-10 LPA,Full-Time,342.0,we are looking for a data scientist to join databridge labs the candidate should have experience with python sql aws etl responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and b sc qualification are preferred,330
JOB101376,Data Scientist,Infosphere Analytics,Infosphere Analytics,COM002,Remote,"We are looking for a Data Scientist to join Infosphere Analytics. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and MBA qualification are preferred.","Excel, Power BI, SQL, Data Visualization",0-1 Years,MBA,₹2.5-4 LPA,Contract,364.0,we are looking for a data scientist to join infosphere analytics the candidate should have experience with excel power bi sql data visualization responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and mba qualification are preferred,353
JOB100939,SQL Developer,TechNova Solutions,TechNova Solutions,COM001,Delhi NCR,"We are looking for a SQL Developer to join TechNova Solutions. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and MBA qualification are preferred.","Python, Pandas, NumPy, SQL",2-4 Years,MBA,₹10-16 LPA,Part-Time,347.0,we are looking for a sql developer to join technova solutions the candidate should have experience with python pandas numpy sql responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and mba qualification are preferred,336
JOB101617,BI Analyst,BluePeak Digital,BluePeak Digital,COM011,"Hyderabad, Telangana","We are looking for a BI Analyst to join BluePeak Digital. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Master's Degree qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",1-3 Years,Master's Degree,₹5-8 LPA,Full-Time,374.0,we are looking for a bi analyst to join bluepeak digital the candidate should have experience with python pandas machine learning scikit learn responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and master s degree qualification are preferred,363
JOB101874,Business Analyst,NextGen Systems,NextGen Systems,COM005,"Ahmedabad, Gujarat","We are looking for a Business Analyst to join NextGen Systems. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Bachelor's Degree qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",0-1 Years,Bachelor's Degree,₹2.5-4 LPA,Internship,377.0,we are looking for a business analyst to join nextgen systems the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and bachelor s degree qualification are preferred,366
JOB101346,Junior Data Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Pune, Maharashtra","We are looking for a Junior Data Analyst to join CloudMatrix Technologies. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and BCA qualification are preferred.","Java, Spring Boot, SQL, REST API",0-1 Years,BCA,₹4-7 LPA,Remote,365.0,we are looking for a junior data analyst to join cloudmatrix technologies the candidate should have experience with java spring boot sql rest api responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and bca qualification are preferred,354
JOB100798,Junior Data Analyst,FinEdge Technologies,FinEdge Technologies,COM006,"Noida, Uttar Pradesh","We are looking for a Junior Data Analyst to join FinEdge Technologies. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and MBA qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",8+ Years,MBA,,Internship,374.0,we are looking for a junior data analyst to join finedge technologies the candidate should have experience with python pandas machine learning scikit learn responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 8 years experience and mba qualification are preferred,362
JOB101098,Python Developer,NextGen Systems,NextGen Systems,COM005,"Gurugram, Haryana","We are looking for a Python Developer to join NextGen Systems. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and MBA qualification are preferred.","Java, Spring Boot, SQL, REST API",1-3 Years,MBA,₹3-5 LPA,Remote,353.0,we are looking for a python developer to join nextgen systems the candidate should have experience with java spring boot sql rest api responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and mba qualification are preferred,342
JOB101582,AI Engineer,Quantix Analytics,Quantix Analytics,COM009,"Ahmedabad, Gujarat","We are looking for a AI Engineer to join Quantix Analytics. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Tech / B.E. qualification are preferred.","Python, Pandas, NumPy, SQL",2-4 Years,B.Tech / B.E.,₹8-12 LPA,Remote,354.0,we are looking for a ai engineer to join quantix analytics the candidate should have experience with python pandas numpy sql responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and b tech b e qualification are preferred,340
JOB100371,BI Analyst,innovexa pvt ltd,Innovexa Pvt Ltd,COM010,Remote,"We are looking for a BI Analyst to join Innovexa Pvt Ltd. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Tech / B.E. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",2-4 Years,B.Tech / B.E.,₹4-7 LPA,Part-Time,368.0,we are looking for a bi analyst to join innovexa pvt ltd the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and b tech b e qualification are preferred,354
JOB100980,Software Engineer,NextGen Systems,NextGen Systems,COM005,"Noida, Uttar Pradesh","We are looking for a Software Engineer to join NextGen Systems. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and MBA qualification are preferred.","Python, SQL, AWS, ETL",5-8 Years,MBA,₹5-8 LPA,Part-Time,343.0,we are looking for a software engineer to join nextgen systems the candidate should have experience with python sql aws etl responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 5 8 years experience and mba qualification are preferred,332
JOB100913,Business Analyst,InsightWorks,InsightWorks,COM007,"Chennai, Tamil Nadu","We are looking for a Business Analyst to join InsightWorks. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and Bachelor's Degree qualification are preferred.","SQL, Power BI, Excel, DAX",5-8 Years,Bachelor's Degree,₹8-12 LPA,Remote,357.0,we are looking for a business analyst to join insightworks the candidate should have experience with sql power bi excel dax responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 5 8 years experience and bachelor s degree qualification are preferred,346
JOB101570,Software Engineer,FinEdge Technologies,FinEdge Technologies,COM006,"Ahmedabad, Gujarat","We are looking for a Software Engineer to join FinEdge Technologies. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and Any Graduate qualification are preferred.","Java, Spring Boot, SQL, REST API",5-8 Years,Any Graduate,₹4-7 LPA,Remote,368.0,we are looking for a software engineer to join finedge technologies the candidate should have experience with java spring boot sql rest api responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 5 8 years experience and any graduate qualification are preferred,357
